,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,full_name,age
0,1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,Laraine-Medendorp,69
1,2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,Eli-Bockman,42
2,3,M,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,Arlin-Dearle,68
8,9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,Mala-Lind,49
9,10,F,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,Fiorenze-Birdall,34
11,12,M,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,Sawyere-Flattman,28
12,13,M,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,Gabriele-Norcross,67
13,14,F,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,Rayshell-Kitteman,39
14,15,M,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,Erroll-Radage,22
18,19,F,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,Sorcha-Keyson,21
19,20,M,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,Basile-Firth,42
20,21,M,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,Mile-Cammocke,42
23,24,F,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,Kim-Skpsey,45
24,25,M,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,Geoff-Assaf,46
25,26,F,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,Trixi-Ginnelly,44
26,27,M,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,Garvin-Klees,44
27,28,M,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,Fee-Zellmer,49
28,29,F,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,Mona-Sancraft,54
30,31,F,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,Star-Praton,60
